"","ID_","YEAR","CLASS_","REALINC","REALRINC","WRKSTAT","HRS1","WRKSLF","OCC10","INDUS10","MARITAL","DIVORCE","WIDOWED","SPWRKSTA","SPWRKSLF","SPOCC10","SPIND10","PAWRKSLF","PAOCC10","SIBS","CHILDS","AGE","EDUC","PAEDUC","MAEDUC","SPEDUC","SEX","RACE","RES16","REG16","MOBILE16","FAMILY16","INCOM16","BORN","PARBORN","GRANBORN","HOMPOP","BABIES","PRETEEN","TEENS","ADULTS","UNRELAT","EARNRS","REGION","RELIG","ATTEND","RELIG16","FUND16","SPREL","RACLIVE","HEALTH","WKSUB","WKSUBS","WKSUP","UNEMP","OWNGUN","PARTNERS","PASEI10","PRESTG10","SEI10","SPPRES10","SPSEI10","UNION_","ETH1","POLVIEWS","NATROAD","NATSOC","NATMASS","NATPARK","EQWLTH","SPKATH","COLATH","LIBATH","SPKRAC","COLRAC","LIBRAC","SPKCOM","COLCOM","LIBCOM","SPKMIL","COLMIL","LIBMIL","SPKHOMO","COLHOMO","LIBHOMO","CAPPUN","GUNLAW","COURTS","HELPFUL","FAIR","TRUST","CONFINAN","CONBUS","CONCLERG","CONEDUC","CONFED","CONLABOR","CONPRESS","CONMEDIC","CONTV","CONJUDGE","CONSCI","CONLEGIS","CONARMY","OBEY","POPULAR","THNKSELF","WORKHARD","HELPOTH","GETAHEAD","ABDEFECT","ABNOMORE","ABHLTH","ABPOOR","ABRAPE","XMARSEX","HOMOSEX","POLHITOK","POLABUSE","POLMURDR","POLESCAP","POLATTAK","HELPPOOR","HELPNOT","HELPSICK","HELPBLK","PARTYID","TAX","FUND","HAPPY","LIFE","SATJOB","SATFIN","FINALTER","XMOVIE","FEAR","PISTOL","SHOTGUN","RIFLE","PHONE"
"1","16",1984,"L2",23386,23386,"1",72,1,"91","36","1",1,NA,"1",0,"36","36",1,"22",2,5,40,16,16,12,12,0,"2","6","0","3","2",4,0,"8","2",6,1,0,1,4,0,2,"2","2",3,"2","2","2",1,NA,0,NA,0,0,"2",NA,59.1,26,28.5,48,24.2,"3","8",NA,"1","1","1","1",7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,"2","1","2","1","1","1","3","2","2","3","1","1","1","2","2","1","1",NA,NA,NA,NA,NA,"1",1,0,1,0,1,"1","1",NA,0,1,0,1,3,4,1,3,"0","1","2","1","1","3","1","3",0,0,"2","2","2","3"
"2","19",1984,"L3",92858,33016,"1",35,0,"73","91","1",1,NA,"1",0,"91","91",1,"61",10,2,37,16,10,10,15,0,"2","1","0","3","1",3,0,"8","4",4,1,1,0,2,0,2,"2","1",4,"1","3","1",1,"1",1,1,0,0,"2",NA,30.8,57,75.6,26,28.5,"2","1",6,"1","1","1","2",4,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,"2","2","1","2","1","1","2","1","1","2","2","2","2","2","2","2","1",NA,NA,NA,NA,NA,"3",1,0,1,0,1,"1","1",0,0,0,0,1,1,2,1,1,"0","1","3","1","1","2","2","3",1,1,"2","2","2","3"
"3","30",1984,"L3",39020.4285,39020.4285,"1",40,0,"24","58","1",0,NA,"1",0,"58","58",0,"87",6,1,35,20,12,12,15,0,"2","6","2","1","1",3,1,"0","2",3,0,0,1,2,0,1,"2","4",0,"2","2","4",1,"2",1,1,0,0,"2",NA,37.2,55,77.2,32,25.7,"4","28",3,"2","1","3","1",3,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,"2","2","1","1","3","2","2","2","2","2","2","1","3","1","2","2","2",NA,NA,NA,NA,NA,"1",1,1,1,1,1,"1","4",0,0,0,1,1,1,3,3,2,"1","1","3","2","1","2","3","2",1,0,"2","2","2","3"
"4","43",1984,"L3",46773,15132,"1",35,0,"43","74","1",1,NA,"1",0,"74","74",1,"47",3,2,32,12,12,12,12,0,"1","5","2","2","1",4,1,"1",NA,4,0,2,0,2,0,2,"2","1",5,"1","2","1",1,"2",1,0,1,1,"1",NA,43,39,67.7,46,51.9,"2","11",5,"1","1","2","1",4,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,"2","2","1","2","2","2","1","1","2","1","2","1","2","1","1","2","1",NA,NA,NA,NA,NA,"1",1,1,1,1,1,"1","1",0,0,0,1,1,3,NA,NA,NA,"5","1","2","1","2","1","2","1",1,1,"2","1","1","3"
"5","52",1984,"L3",92858,46773,"1",40,0,"50","20","1",0,NA,"2",0,"20","20",1,"64",5,5,60,12,8,8,14,1,"1","4","2","3","3",3,1,"0","2",4,0,0,0,4,0,4,"2","1",7,"1","3","1",1,"2",1,1,1,0,"2",NA,36.2,53,73.9,56,53.8,"2","8",6,"1","3","3","2",5,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,"2","1","2","1","1","1","1","1","2","3","2","1","2","2","2","2","2",NA,NA,NA,NA,NA,"2",1,1,1,1,1,"3","4",1,0,0,1,1,3,3,3,4,"5","1","3","3","2","1","1","1",1,0,"2","2","2","3"
"6","61",1984,"L3",46773,33016,"1",30,0,"48","48","1",1,NA,"2",0,"48","48",0,"38",2,1,40,13,12,10,12,1,"1","5","9","1","1",3,1,"0","0",3,0,1,0,2,0,2,"9","4",1,"1","1","2",1,"1",1,1,0,0,"1",NA,65.3,45,62,45,62,"4","8",4,"2","2","1","1",3,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,"2","2","1","2","2","2","3","2","3","3","2","2","3","1","1","3","2",NA,NA,NA,NA,NA,"3",1,1,1,1,1,"4","4",1,0,0,1,1,2,3,3,2,"1","2","3","2","2","2","2","2",0,0,"1","2","2","3"
"7","75",1984,"L2",92858,2201,"1",40,0,"51","47","1",1,NA,"1",0,"47","47",1,"64",2,2,47,15,12,12,17,0,"1","6","8","3","1",2,1,"0","2",4,0,0,1,3,0,4,"9","1",5,"1","1",NA,0,"2",1,1,0,0,"1",NA,24,45,38.3,31,39.7,"4","11",4,"2","2","2","2",4,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,"2","2","2","2","2","3","2","2","2","3","3","1","3","2","2","2","2",NA,NA,NA,NA,NA,"3",1,1,1,1,1,"2","1",0,0,0,0,0,3,3,3,4,"5","1","1","1","1","1","3","2",0,1,"2","2","1","3"
"8","77",1984,"L3",20635,4952,"1",50,1,"64","51","1",0,NA,"1",0,"51","51",0,"67",4,1,27,14,11,12,13,1,"1","3","9","1","1",3,1,"0","1",3,1,0,0,2,0,2,"9","1",4,"1","2","1",1,"1",0,NA,1,1,"1",NA,23.8,35,24,40,33.4,"4","14",4,"2","2","2","1",4,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,"2","1","2","1","2","2","2","2","1","1","2","2","2","1","1","1","1",NA,NA,NA,NA,NA,"1",1,0,1,0,1,"1","1",1,0,0,1,1,NA,3,1,3,"6","2","2","1","1","2","2","3",0,0,"2","1","2","3"
"9","79",1984,"L2",33016,NA,"7",NA,0,"80","72","1",0,NA,"1",0,"72","72",0,"28",3,2,31,12,16,16,14,0,"1","5","9","2","1",4,1,"0","0",4,2,0,0,2,0,1,"9","4",0,"4","3","5",0,"2",1,1,1,1,"2",NA,73.4,60,76.3,45,31.2,"4","14",2,"1",NA,"1","2",1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,"2","1","2","1","3","2","2","2","2","2","1","1","2","1","1","2","3",NA,NA,NA,NA,NA,"1",1,1,1,1,1,"2","4",1,0,0,1,1,1,2,2,1,"0","1","3","2","2","2","2","3",0,0,"2","2","2","3"
"10","83",1984,"L1",46773,12381,"1",32,0,"50","43","1",0,NA,"1",1,"43","43",0,"77",3,0,38,13,8,6,8,0,"1","3","6","3","1",1,1,"0","2",2,0,0,0,2,0,2,"9","1",8,"1","1","2",NA,"2",1,1,0,0,"2",NA,46.5,25,26.8,39,67.7,"4","10",4,"1","1","1","1",4,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,"2","2","1","2","3","2","1","2","3","3","2","3","3","2","2","2","2",NA,NA,NA,NA,NA,"1",0,0,1,0,0,"1","1",1,0,0,1,1,1,3,3,4,"1","1","1","2","1","2","2","2",1,1,"2","2","2","3"
