"REALINC","REALRINC","WRKSTAT","HRS1","WRKSLF","OCC10","INDUS10","MARITAL","DIVORCE","WIDOWED","SPWRKSTA","SPWRKSLF","SPOCC10","SPIND10","PAWRKSLF","PAOCC10","SIBS","CHILDS","AGE","EDUC","PAEDUC","MAEDUC","SPEDUC","SEX","RACE","RES16","REG16","MOBILE16","FAMILY16","INCOM16","BORN","PARBORN","GRANBORN","HOMPOP","BABIES","PRETEEN","TEENS","ADULTS","UNRELAT","EARNRS","REGION","RELIG","ATTEND","RELIG16","FUND16","SPREL","RACLIVE","HEALTH","WKSUB","WKSUBS","WKSUP","UNEMP","OWNGUN","PHONE","PARTNERS","PASEI10","PRESTG10","SEI10","SPPRES10","SPSEI10","YEAR","ID_","CLASS_","UNION_","ETH1"
45000,27500,"1",40,0,"72","57","1",1,0,"1",0,"57","57",1,"47",4,1,45,8,8,3,12,1,"3","1","0","3","1",3,0,"8","4",2,0,0,0,2,0,2,"2","5",7,"2","2","5",1,"1",1,1,1,NA,"2",3,NA,43,45,31.2,47,38.8,1987,"14","2","1","39"
55000,32500,"1",38,0,"35","72","1",0,0,"1",0,"72","72",0,"43",3,2,35,15,12,14,14,0,"2","5","2","1","1",4,0,"8","4",3,0,1,0,2,0,2,"2","2",4,"2","2","4",1,"2",1,1,1,NA,"2",3,NA,37.4,64,71.8,45,31.2,1987,"23","3","2","39"
23750,7500,"1",36,0,"47","86","1",0,0,"1",0,"86","86",0,"64",1,2,58,12,8,8,12,0,"1","4","2","1","1",3,1,"8","4",2,0,0,0,2,0,2,"2","1",5,"1","2","2",1,"1",0,NA,0,NA,"2",3,NA,36.2,31,39.7,27,27.7,1987,"32","2","2","24"
16250,5500,"7",NA,0,"54","87","1",0,0,"1",0,"87","87",0,"91",2,0,35,15,12,14,12,0,"2","3","5","3","1",3,1,"0","2",2,0,0,0,2,0,2,"2","1",3,"1","3","4",1,"1",1,1,1,NA,"2",1,NA,32,38,25.7,39,38.1,1987,"33","2","2","1"
45000,500,"2",7,0,"47","37","1",0,0,"1",0,"37","37",0,"70",2,4,51,11,6,12,13,0,"1","6","2","2","1",3,1,"0","3",2,0,0,0,2,0,2,"2","2",7,"2","2","2",1,"1",1,1,0,NA,"2",3,NA,52.4,31,39.7,59,65.1,1987,"38","3","2","14"
90278,92594,"1",40,0,"70","51","1",0,0,"1",0,"51","51",0,"84",2,2,40,12,4,12,13,1,"1","4","2","2","1",3,1,"8","4",4,0,0,2,2,0,2,"2","2",4,"2","2","2",0,"3",1,1,1,NA,"2",3,NA,29.9,40,39.6,24,34.8,1987,"41","3","1","15"
37500,13750,"1",35,0,"50","72","1",0,0,"1",0,"72","72",0,"73",1,0,27,12,12,12,12,0,"1","3","2","2","1",2,1,"0","1",2,0,0,0,2,0,2,"2","1",1,"2","2","1",1,"2",1,1,1,NA,"1",3,NA,38.8,46,52,42,35.3,1987,"43","3","2","15"
55000,55000,"1",40,0,"50","57","1",0,0,"7",0,"57","57",0,"38",3,3,35,17,12,12,12,1,"1","6","2","3","1",3,1,"0","3",5,2,1,0,2,0,1,"2","2",7,"2","2","2",0,"1",1,1,1,NA,"2",3,NA,73.5,53,73.9,47,38.8,1987,"45","3","4","14"
55000,21250,"2",25,0,"20","73","1",0,0,"1",0,"73","73",1,"47",2,3,60,17,7,10,14,0,"1","3","1","3","1",4,1,"0","0",2,0,0,0,2,0,2,"2","1",8,"1","3","4",1,"2",1,1,0,NA,"2",3,NA,39.7,66,62.6,40,41.6,1987,"46","3","4","8"
32500,4500,"2",17,0,"58","50","1",0,0,"1",0,"50","50",0,"50",4,3,33,12,18,12,14,0,"1","4","2","2","1",4,1,"0","2",5,2,1,0,2,0,2,"2","1",7,"1","2","1",1,"2",1,1,1,NA,"2",3,NA,73.9,32,35.8,46,52,1987,"47","3","4","11"
45000,23750,"1",50,1,"47","80","1",0,0,"1",0,"80","80",0,"60",0,0,31,16,3,3,16,1,"1","3","9","1","1",1,0,"8","4",2,0,0,0,2,0,2,"9","2",2,"2","2","2",1,"1",1,1,0,NA,"2",3,NA,14,38,43,60,76.3,1987,"64","3","4","38"
16250,2000,"7",NA,0,"52","89","1",0,0,"1",0,"89","89",0,"89",5,5,41,12,8,10,12,0,"2","6","3","1","1",3,1,"0","0",5,1,0,1,3,0,3,"3","1",3,"1","1","1",1,"2",1,1,0,NA,"2",3,NA,26.8,36,35.3,32,31.9,1987,"89","2","2","1"
55000,27500,"1",40,0,"15","80","1",0,0,"1",0,"80","80",0,"73",3,0,53,12,NA,8,16,0,"1","6","3","1","1",3,1,"0","4",2,0,0,0,2,0,2,"3","1",3,"2","2","1",1,"1",1,1,0,NA,"2",3,NA,36.4,47,62.7,60,76.3,1987,"91","3","4","6"
18750,9000,"2",20,1,"28","51","1",1,0,"7",0,"51","51",0,"69",1,2,39,20,8,10,16,1,"1","3","3","2","1",2,1,"0",NA,6,2,0,0,4,0,1,"3","1",5,"1","1","1",1,"2",1,1,0,NA,"1",3,NA,36.7,54,72.5,40,33.4,1987,"92","2","4","8"
16250,9000,"1",38,0,"47","42","1",1,0,"7",0,"42","42",0,"89",2,7,49,9,8,9,6,0,"1","6","3","1","1",2,1,"0","1",6,0,2,2,2,0,1,"3","2",6,"2","2","1",NA,"3",1,1,0,NA,"2",3,NA,26.8,31,39.7,24,20.7,1987,"97","2","1","14"
55000,16250,"1",40,0,"89","39","1",0,0,"1",0,"39","39",0,"60",10,4,49,8,8,8,12,0,"2","2","3","1","1",1,1,"0","0",2,0,0,0,2,0,2,"3","1",7,"1","1","1",1,"2",1,1,0,NA,"1",3,NA,14,35,26.8,34,34.7,1987,"107","2","1","97"
37500,21250,"1",60,0,"52","54","1",0,0,"6",0,"54","54",0,"12",1,1,31,14,14,13,14,0,"1","5","3","1","1",4,1,"0","0",2,0,0,0,2,0,2,"3","1",5,"1","1","1",NA,"2",1,1,0,NA,"1",3,NA,80.2,31,37.6,46,59.8,1987,"114","3","4","8"
27500,2000,"2",20,0,"91","96","1",0,0,"1",0,"96","96",0,"64",1,2,33,12,9,11,13,0,"1","5","3","2","1",3,1,"0","3",4,1,1,0,2,0,2,"3","1",7,"1","1","2",0,"2",1,1,0,NA,"2",3,NA,36.2,35,31.6,25,23.3,1987,"115","2","2","11"
90278,92594,"1",64,0,"91","47","1",0,0,"1",0,"47","47",1,"62",3,5,42,14,8,18,15,1,"1","6","3","2","1",4,1,"0","4",3,0,0,1,2,0,2,"3","2",7,"2","2","2",0,"1",1,1,1,NA,"1",3,NA,28.7,35,32,38,43,1987,"119","4","3","11"
90278,55000,"2",20,1,"47","47","1",0,0,"1",1,"47","47",0,"48",2,1,29,12,12,12,18,0,"1","6","3","2","1",3,1,"0","0",3,1,0,0,2,0,2,"3","2",7,"2","2","2",1,"2",1,0,1,NA,"2",3,NA,62,38,43,38,43,1987,"121","4","4","11"
32500,27500,"1",48,0,"37","53","1",0,0,"2",0,"53","53",0,"62",2,2,33,12,13,12,13,1,"1","6","2","1","1",3,1,"0",NA,4,2,0,0,2,0,2,"2","2",4,"2","2","2",1,"2",1,1,1,NA,"2",3,NA,28.7,59,65.1,33,32,1987,"131","2","3","14"
32500,18750,"1",52,0,"40","51","1",0,0,"1",0,"51","51",0,"73",3,0,34,14,18,10,16,1,"1","5","2","3","1",3,1,"0","0",2,0,0,0,2,0,2,"2","1",3,"1","3","2",1,"2",0,NA,1,NA,"2",3,NA,38.8,50,32.6,45,38.3,1987,"137","2","4","8"
27500,23750,"1",40,0,"47","47","1",0,0,"1",0,"47","47",0,"22",4,1,30,16,20,20,12,0,"1","5","2","2","1",3,1,"1","1",3,1,0,0,2,0,2,"2","2",3,"2","2","1",1,"2",1,1,1,NA,"1",3,NA,84.5,38,43,38,43,1987,"144","2","4","10"
37500,18750,"1",40,0,"77","77","1",0,0,"1",0,"77","77",0,"61",7,2,35,10,12,12,12,0,"1","3","2","1","1",3,1,"0","0",4,0,0,2,2,0,3,"2","4",0,"1","2","1",1,"1",1,1,0,NA,"2",3,NA,20,35,25,50,46.5,1987,"145","2","4","14"
27500,21250,"1",35,0,"20","56","1",0,0,"2",0,"56","56",1,"13",5,3,28,16,16,16,12,0,"1","3","2","1","1",4,1,"0","2",5,3,0,0,2,0,2,"2","2",0,"2","2","1",1,"3",1,1,0,NA,"1",3,NA,84,54,62.9,25,23.8,1987,"153","2","3","14"
90278,32500,"1",40,0,"20","77","1",0,0,"1",0,"77","77",0,"88",8,3,48,16,12,16,16,1,"2","6","3","1","1",4,1,"0","0",5,0,1,1,3,0,2,"3","1",4,"1","1","1",1,"1",0,NA,1,NA,"2",3,NA,26.2,54,62.9,50,46.5,1987,"158","3","3","1"
23750,4500,"1",42,0,"54","22","1",0,0,"1",1,"22","22",0,"37",3,1,28,13,12,14,12,0,"1","3","3","2","1",3,1,"0","0",3,1,0,0,2,0,2,"3","2",4,"2","2","2",0,"1",1,1,0,NA,"2",3,NA,65.1,38,25.7,53,59.1,1987,"174","2","2","8"
90278,37500,"1",40,0,"84","48","1",0,0,"1",0,"48","48",1,"13",4,0,32,18,16,12,16,0,"3","6","9","1","1",4,0,"8","4",2,0,0,0,2,0,2,"9","4",0,"2","2","4",NA,"2",1,1,1,NA,"1",3,NA,84,58,81.9,47,57.8,1987,"176","3","4","5"
32500,2000,"1",30,0,"23","62","1",0,0,"1",0,"62","62",0,"81",6,2,39,16,14,11,12,0,"1","3","8","3","1",3,1,"0","2",4,1,1,0,2,0,2,"9","1",5,"1","2","2",0,"2",1,1,1,NA,"2",3,NA,62.6,64,82.5,44,28.7,1987,"183","3","3","11"
37500,27500,"1",54,0,"16","51","1",0,0,"1",0,"51","51",0,"73",6,2,60,8,8,8,12,1,"1","3","8","3","1",3,1,"8","4",2,0,0,0,2,0,2,"9","2",0,"2","2","2",1,"1",1,1,1,NA,"1",3,NA,42.8,44,52.5,39,20.8,1987,"187","2","4","17"
55000,11250,"1",40,0,"31","14","1",0,0,"1",0,"14","14",0,"23",2,0,29,20,12,12,17,0,"1","6","9","2","1",4,1,"0","2",2,0,0,0,2,0,2,"9","1",5,"1","3","2",1,"2",1,0,1,NA,"1",3,NA,75.5,60,88.4,70,83.8,1987,"193","3","4","8"
27500,18750,"1",40,0,"51","47","1",0,0,"5",0,"47","47",1,"20",4,3,65,13,6,3,12,0,"1","2","8","3","1",4,0,"8","4",2,0,0,0,2,0,2,"9","2",2,"2","2","1",0,"2",1,1,1,NA,"1",3,NA,39.9,45,38.3,38,43,1987,"194","2","4","35"
90278,55000,"5",NA,0,"10","47","1",0,0,"1",0,"47","47",0,"91",5,3,57,16,8,8,12,1,"1","3","4","3","1",3,1,"0","0",2,0,0,0,2,0,2,"5","1",3,"1","1","1",1,"2",1,1,0,NA,"3",3,NA,31.6,60,87.9,28,21.6,1987,"197","3","4","10"
90278,23750,"1",40,0,"57","93","1",0,0,"1",0,"93","93",0,"82",2,4,57,12,9,12,16,0,"1","6","3","3","1",3,1,"1","4",2,0,0,0,2,0,2,"5","2",7,"2","2","5",1,"2",1,1,0,NA,"2",3,NA,25.1,47,38.8,39,60.3,1987,"198","3","2","15"
