"","PARTYID","TAX","FUND","HAPPY","LIFE","SATJOB","SATFIN","FINALTER","XMOVIE","FEAR","PISTOL","SHOTGUN","RIFLE","PHONE","YEAR","ID_","CLASS_"
"1","0","1","2","1","1","3","1","3",0,0,"2","2","2","3",1984,"16","2"
"2","0","1","3","1","1","2","2","3",1,1,"2","2","2","3",1984,"19","3"
"3","1","1","3","2","1","2","3","2",1,0,"2","2","2","3",1984,"30","3"
"4","5","1","2","1","2","1","2","1",1,1,"2","1","1","3",1984,"43","3"
"5","5","1","3","3","2","1","1","1",1,0,"2","2","2","3",1984,"52","3"
"6","1","2","3","2","2","2","2","2",0,0,"1","2","2","3",1984,"61","3"
"7","5","1","1","1","1","1","3","2",0,1,"2","2","1","3",1984,"75","2"
"8","6","2","2","1","1","2","2","3",0,0,"2","1","2","3",1984,"77","3"
"9","0","1","3","2","2","2","2","3",0,0,"2","2","2","3",1984,"79","2"
"10","1","1","1","2","1","2","2","2",1,1,"2","2","2","3",1984,"83","1"
"11","1","1","1","2","1","3","3","3",1,0,"2","2","2","3",1984,"85","3"
"12","4","1","3","2","2","2","3","3",1,0,"2","2","2","3",1984,"97","4"
"13","2","1","2","2","1","1","1","1",0,0,"2","2","2","3",1984,"99","3"
"14","3","1","2","1","1","1","2","1",1,0,"1","2","2","3",1984,"107","3"
"15","2","1","2","3","1","2","3","2",1,1,"2","1","2","3",1984,"110","3"
"16","0","1","2","2","1","3","3","2",0,1,"2","2","2","3",1984,"128","1"
"17","5","1","1","1","1","2","1","3",0,1,"2","1","2","3",1984,"136","3"
"18","1","1","1","1","1","1","2","3",0,0,"2","2","2","3",1984,"145","3"
"19","5","1","2","2","2","3","3","2",1,0,"2","2","2","3",1984,"149","2"
"20","5","1","2","1","1","1","1","1",0,NA,"2","2","2","3",1984,"169","3"
"21","3","1","2","2","2","4","3","3",0,1,"2","2","2","3",1984,"171","3"
"22","5","1","1","1","1","1","3","2",0,0,"1","1","1","3",1984,"174","2"
"23","1","3","2","1","1","2","2","1",1,0,"2","2","1","3",1984,"198","3"
"24","3","1","2","1","1","1","2","1",1,0,"2","2","2","3",1984,"201","3"
"25","5","1","2","2","1","2","2","1",0,0,"2","2","2","3",1984,"213","3"
"26","7","2","3","2","1","3","1","3",1,0,"2","2","2","3",1984,"221","3"
"27","1","1","3","1","2","1","2","3",0,0,"2","2","2","3",1984,"237","2"
"28","2","2","1","2","1","2","2","1",0,0,"2","1","2","3",1984,"243","2"
"29",NA,NA,"2","2","1","1","2","3",0,1,"1","1","1","3",1984,"244","3"
"30","0","2","2","2","2","2","2","1",0,1,"2","2","2","3",1984,"259","3"
"31","0","1","2","2","1","2","2","1",0,0,"2","2","2","3",1984,"277","3"
"32","2","1","2","1","1","2","1","3",0,0,"2","2","2","3",1984,"279","3"
"33","3","1","3","2","1","1","2","1",0,0,"3","3","3","3",1984,"284","3"
"34","0","1","1","2","2","2","3","1",1,0,"1","2","2","3",1984,"289","2"
"35","5","1","1","2","2","3","3","2",0,0,"2","2","2","3",1984,"301","3"
"36","2","1","2","1","1","1","1","1",0,0,"2","2","2","3",1984,"314","3"
"37","5","1","3","1","1","2","2","1",0,1,"2","2","2","3",1984,"317","3"
"38","4","2","2","2","2","3","2","3",1,0,"1","1","1","3",1984,"323","2"
"39","1","2","2","1","2","2","1","3",0,0,NA,NA,NA,"3",1984,"340","3"
"40","1",NA,"2","1","2","1","1","1",0,0,"2","2","1","3",1984,"344","2"
"41","1","2","2","3","1","1","1","1",0,1,"2","2","2","3",1984,"347","3"
"42","3","1","2","3","2","4","3","2",0,0,"2","1","2","3",1984,"375","3"
"43","0","2",NA,"2","1","2","2","3",0,0,"2","2","2","3",1984,"389","3"
"44","2","1","3","2","1","2","2","1",0,0,"2","2","2","3",1984,"391","3"
"45","1","1","2","2","1","2","3","1",0,1,"2","2","2","3",1984,"409","2"
"46","1","2","3","1","1","2","1","1",0,0,"2","2","2","4",1984,"422","3"
"47","3","1","2","1","1","1","1","1",0,0,"2","2","2","3",1984,"424","3"
"48","4","1","2","2","2","2","2","1",1,0,"2","2","2","3",1984,"426","3"
"49","1","1","2","2","1","2","3","1",1,0,"2","2","2","2",1984,"434","2"
"50","4","2","3",NA,"2","1","2","1",0,1,"2","2","2","2",1984,"452","2"
"51","2","2","2","1","2","1","2","1",0,0,"2","2","2","3",1984,"471","3"
"52","5","1","3","1","1","1","1","1",0,0,"2","2","1","3",1984,"475","4"
"53","1","2","2","2","2","3","2","1",0,0,"2","2","2","3",1984,"483","3"
"54","3","1","2","2","1","2","1","1",0,0,"2","2","2","3",1984,"493","3"
"55","2","2","2","1","1","1","1","1",0,1,"1","2","2","3",1984,"496","3"
"56","1","1","2","2","1","1","2","1",0,0,"2","1","2","3",1984,"499","3"
"57","0","1","3","2","2","2","2","3",0,0,"2","2","2","3",1984,"510","2"
