"PARTYID","POLVIEWS","NATROAD","NATSOC","NATMASS","NATPARK","EQWLTH","TAX","SPKATH","COLATH","LIBATH","SPKRAC","COLRAC","LIBRAC","SPKCOM","COLCOM","LIBCOM","SPKMIL","COLMIL","LIBMIL","SPKHOMO","COLHOMO","LIBHOMO","CAPPUN","GUNLAW","COURTS","HELPFUL","FAIR","TRUST","CONFINAN","CONBUS","CONCLERG","CONEDUC","CONFED","CONLABOR","CONPRESS","CONMEDIC","CONTV","CONJUDGE","CONSCI","CONLEGIS","CONARMY","OBEY","POPULAR","THNKSELF","WORKHARD","HELPOTH","GETAHEAD","ABDEFECT","ABNOMORE","ABHLTH","ABPOOR","ABRAPE","ABANY","XMARSEX","HOMOSEX","POLHITOK","POLABUSE","POLMURDR","POLESCAP","POLATTAK","HELPPOOR","HELPNOT","HELPSICK","HELPBLK","YEAR","ID_","CLASS_"
"6",3,"1","1","1","1",6,"1",0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,"2","1","1","2","2","2","1","1","1","1","2","1","1","2","1","1","1",1,2,5,3,4,"1",1,1,1,0,1,0,"1","1",1,0,0,1,1,4,1,1,5,1987,"14","2"
"0",1,"3","1","3","1",3,"1",1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,"2","2","1","2","2","2","3","2","2","2","2","2","2","2","2","2","1",4,5,1,3,2,"3",1,1,1,1,1,1,"2","1",0,0,0,1,1,1,3,1,1,1987,"23","3"
"0",4,"1","1","1","2",1,"1",0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,"2","2","2","2","2","2","2","2","2","2","2","3","3","2","2","2","2",2,3,1,4,5,"1",1,0,1,1,1,0,"1","1",1,0,0,1,1,5,5,1,5,1987,"32","2"
"1",2,"2","2","2","2",4,"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"2","1","1","2","1","2","2","1","2","2","2","1","2","2","2","2","2",1,5,2,3,4,"1",1,0,1,0,1,0,"2","4",NA,0,0,0,1,1,2,2,2,1987,"33","2"
"5",7,"1","1","2","2",5,"1",1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,"2","3","2","1","2","3","2","3","3","3","3","3","3","3","2","3","3",4,5,1,2,3,"1",1,0,0,0,1,0,"3","1",1,1,NA,1,1,2,4,2,4,1987,"38","3"
"4",2,"1","2","2","1",4,"1",0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,"2","2","2","2","2","2","2","3","2","2","2","2","3","2","2","2","2",1,5,4,2,3,"2",1,0,1,1,1,1,"1","1",0,0,0,1,1,3,5,3,5,1987,"41","3"
"6",5,"1","1","2","1",1,"1",0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,"2","2","1","2","2","2","2","2","2","2","3","3","2","1","3","3","2",3,5,1,4,2,"2",1,1,1,1,1,1,"2","1",1,0,1,1,1,3,3,2,5,1987,"43","3"
"5",5,"2","2","2","1",5,"2",1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,"2","1","2","1","1","1","2","1","1","2","2","1","2","1","1","2","1",2,5,1,4,3,"1",1,0,1,0,1,0,"2","1",1,1,0,1,1,3,1,3,4,1987,"45","3"
"1",3,"2","3","3","2",2,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,NA,"1","2","1","2","2","2","2","3","3","2","2","2","2","2","2","2",4,5,1,3,2,"2",1,1,1,1,1,1,"1","1",1,0,0,1,1,2,2,1,2,1987,"46","3"
"5",4,"2","1",NA,"2",3,"2",1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,"2","2","2","2","1","1","1","1","2","2","2","1","2","2","2","2","2",4,5,1,3,2,"2",1,0,1,0,0,0,"1","1",1,0,0,1,1,2,2,3,4,1987,"47","3"
"1",2,"2","3","1","2",3,"1",1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,"2","2","1","2","2","1","3","2","3","3","2","2","2","2","1","3","3",4,5,1,2,3,"2",1,0,1,0,1,1,"1","3",1,0,0,1,1,1,5,3,2,1987,"64","3"
